URL,campaign,ad_format,clicks,spend,creative_size,date,impressions,reach,audience,platform,creative_family,creative_version,full_video_views,video_starts,follows,days_from_max,latest_report,CTR,CTR_score,weighted_CTR_score,n
NA,NB_Wholesale_Exact,CPC,0,0,us wholesale mortgage,2022-07-15,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,108,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending services,2022-09-18,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,43,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-10-16,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,15,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-07-24,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,99,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-08-14,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,78,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-09-19,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,42,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage lenders,2022-08-19,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,73,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-05-24,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,160,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-07-16,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,107,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage broker,2022-09-05,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,56,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-08-03,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,89,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage services,2022-08-07,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,85,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-07-24,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,99,0,0,NA,NA,2
