,date,audience,clicks,spend,impressions,reach,total_sessions,completions_F_T,Audience_1,Audience_2,Audience_3,Audience_4,Audience_5,Audience_6,Close_Faster,Closer_Twins,Competitive_Opportunity,SEM_Ads,Unfair_Advantage,Domain_Dsiplay,Facebook,Google_SEM,Linkedin,OTT,User_ID_Display
8698,13/10/2022,4,8,0,6753,1376,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8699,13/10/2022,4,0,0,1241,82,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8700,13/10/2022,4,2,30.2959496,330,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8701,13/10/2022,4,29,66.366337,13426,8152,41,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8702,13/10/2022,4,41,0,45325,3462,37,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8703,13/10/2022,4,23,93.88,6161,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8704,13/10/2022,4,17,0,22243,1757,14,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8705,13/10/2022,4,3,48.56859213,469,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8706,13/10/2022,4,19,0,27074,2502,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8707,13/10/2022,4,3,33.43320492,373,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8708,13/10/2022,5,1,29.73570522,181,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
8709,13/10/2022,5,1,0,1310,74,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8710,13/10/2022,5,27,64.643133,12422,2319,31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8711,13/10/2022,5,3,0,2296,69,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
