...1,date,audience,creative_family,creative_version,platform,ad_format,campaign_traffic,total_sessions,total_bounces,total_duration,days_away,latest_report
8617,2022-09-29,3,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,18,0,41.9999999999999,32,0
8618,2022-05-05,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,3,0,0,179,0
8619,2022-07-25,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,289.999999999999,98,0
8620,2022-10-02,NA,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0,29,0
8621,2022-10-22,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,12,0,0,9,1
8622,2022-04-26,5,UnfairAdvantage,one_page,Domain Display,NA,Campaign,8,0,0,188,0
8623,2022-06-16,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,137,0
8624,2022-05-12,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,9,0,0,172,0
8625,2022-06-22,1,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,0,131,0
8626,2022-10-16,1,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,15,0
8627,2022-06-17,4,CloseFaster,MoreAll,User ID Display,NA,Campaign,4,0,0,136,0
8628,2022-09-22,3,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,39,0
8629,2022-09-26,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,2,0,0,35,0
8630,2022-09-16,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,45,0
8631,2022-10-10,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,6,0,0,21,0
8632,2022-09-19,3,UnfairAdvantage,one_page,Domain Display,NA,Campaign,2,0,0,42,0
8633,2022-07-14,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,5,0,1,109,0
8634,2022-05-31,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,153,0
8635,2022-09-26,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,0,35,0
8636,2022-08-28,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,1,0,0,64,0
8637,2022-04-30,1,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,3,0,0,184,0
8638,2022-10-26,4,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0,5,1
8639,2022-05-04,4,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,0,180,0
8640,2022-07-29,3,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,94,0
8641,2022-05-06,3,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,178,0
8642,2022-10-16,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,7,0,163,15,0
8643,2022-06-28,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0,125,0
8644,2022-07-08,6,Trade Media Ads,728x90,Trade Media,National_mortgage_news,Campaign,1,0,0,115,0
8645,2022-09-07,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,30,0,0,54,0
8646,2022-05-22,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,4,0,902,162,0
8647,2022-10-10,4,UnfairAdvantage,1099,Domain Display,NA,Campaign,22,0,46.9999999999998,21,0
8648,2022-10-06,3,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,0,25,0
8649,2022-08-07,4,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,85,0
8650,2022-08-10,2,CloserTwins,Cutdown1A,Facebook,Video,Campaign,1,0,0,82,0
8651,2022-06-21,3,CloserTwins,MoreLoans,Facebook,Video,Campaign,1,0,0,132,0
8652,2022-08-17,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,9,0,0,75,0
8653,2022-10-05,4,UnfairAdvantage,1099,User ID Display,NA,Campaign,21,0,0,26,0
