...1,date,campaign,audience,creative_family,creative_version,platform,ad_format,goal,completions,campaign_traffic,days_away,latest_report
2042,2022-04-02,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,212,0
2043,2022-04-02,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,212,0
2044,2022-04-02,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,212,0
2045,2022-04-02,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,212,0
2046,2022-04-02,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,212,0
2047,2022-04-03,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,211,0
2048,2022-04-03,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,211,0
2049,2022-04-03,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic,211,0
2050,2022-04-04,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,210,0
2051,2022-04-04,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,210,0
2052,2022-04-04,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),4,General traffic,210,0
2053,2022-04-04,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,210,0
2054,2022-04-04,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,210,0
2055,2022-04-04,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,210,0
2056,2022-04-05,(not set),NA,NA,NA,NA,NA,Form Submission,4,General traffic,209,0
2057,2022-04-05,(not set),NA,NA,NA,NA,NA,Get Approved,3,General traffic,209,0
2058,2022-04-05,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,209,0
2059,2022-04-05,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,209,0
2060,2022-04-05,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),3,General traffic,209,0
2061,2022-04-05,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,209,0
2062,2022-04-06,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,208,0
2063,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,208,0
2064,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,208,0
2065,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,208,0
2066,2022-04-06,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,208,0
