,city_name,latitude,longitude,city_population,city_state_code,state_name
590,Severn,39.13705,-76.6983,44231,MD,Maryland
591,Severna Park,39.07039,-76.54524,37634,MD,Maryland
921,Sevierville,35.86815,-83.56184,16490,TN,Tennessee
764,Sewell,39.7665,-75.14434,37433,NJ,New Jersey
413,Seymour,38.95922,-85.89025,19478,IN,Indiana
1234,Seymour,41.39676,-73.07594,16562,CT,Connecticut
2756,Shafter,35.50051,-119.27178,18336,CA,California
2208,Shaker Heights,41.47394,-81.53707,27646,OH,Ohio
1771,Shakopee,44.79802,-93.5269,39981,MN,Minnesota
66,Shaw,38.91206,-77.02137,17639,DC,District of Columbia
437,Shawnee,39.04167,-94.72024,65046,KS,Kansas
833,Shawnee,35.32729,-96.9253,31286,OK,Oklahoma
2345,Sheboygan,43.75083,-87.71453,48797,WI,Wisconsin
2101,Sheepshead Bay,40.59122,-73.94458,122534,NY,New York
741,Shelby,35.29235,-81.53565,20189,NC,North Carolina
1691,Shelby,42.67087,-83.03298,74099,MI,Michigan
414,Shelbyville,39.52144,-85.77692,19133,IN,Indiana
473,Shelbyville,38.21201,-85.22357,15253,KY,Kentucky
922,Shelbyville,35.48341,-86.46027,21317,TN,Tennessee
1235,Shelton,41.31649,-73.09316,41296,CT,Connecticut
502,Shenandoah,30.4013,-91.00094,18399,LA,Louisiana
3146,Sheridan,44.79719,-106.95618,17873,WY,Wyoming
1071,Sherman,33.63566,-96.60888,40667,TX,Texas
2757,Sherman Oaks,34.15112,-118.44925,52677,CA,California
2856,Sherrelwood,39.83776,-105.00137,18287,CO,Colorado
1187,Sherwood,34.81509,-92.22432,30517,AR,Arkansas
3004,Sherwood,45.35651,-122.8401,19283,OR,Oregon
2102,Shirley,40.80149,-72.8676,27854,NY,New York
474,Shively,38.20007,-85.82274,15713,KY,Kentucky
3122,Shoreline,47.75565,-122.34152,55439,WA,Washington
1772,Shoreview,45.07913,-93.14717,26477,MN,Minnesota
1439,Shorewood,41.52003,-88.20173,16747,IL,Illinois
